시도,시군구,년,위도,경도,기온_6월10이상,기온_6월15이상,기온_6월20이상,기온_6월25이상,기온_6월30이상,기온_7월10이상,기온_7월15이상,기온_7월20이상,기온_7월25이상,기온_7월30이상,기온_8월10이상,기온_8월15이상,기온_8월20이상,기온_8월25이상,기온_8월30이상,기온_9월10이상,기온_9월15이상,기온_9월20이상,기온_9월25이상,기온_9월30이상,기온_10월10이상,기온_10월15이상,기온_10월20이상,기온_10월25이상,기온_10월30이상,전_P0,답_P0,임야_P0,대지_P0,공원_P0,과수원_P0,유원지_P0,묘지_P0,남자인구_P1,여자인구_P1,X65이상인구_P1,X65이상남자_P1,X65이상여자_P1,X65이상남자_P2,X65이상여자_P2,X50이상인구_P1,X50이상남자_P1,X50이상여자_P1,X50이상남자_P2,X50이상여자_P2,농가인구_P1,농가남자_P1,농가여자_P1,농가남자_P2,농가여자_P2,위험지수,color
경기도,동두천시,2017,37.914766,127.066743,716,678,458,217,37,742,742,742,434,83,744,737,660,330,81,714,625,356,127,0,555,335,115,11,0,7.17,2.703,66.784,5.329,0.351,0.065,0.05,0.347,49.779,50.221,16.955,6.903,10.052,40.715,59.285,39.269,18.287,20.982,46.569,53.431,2.204,1.135,1.069,51.509,48.491,6.081,white
경기도,부천시,2017,37.503394,126.765962,719,717,506,108,0,744,744,744,467,27,744,744,699,424,71,720,715,555,100,0,678,428,104,4,0,5.891,6.937,15.524,32.463,4.02,0.074,0.62,0.112,49.727,50.273,10.433,4.437,5.996,42.533,57.467,34.473,16.34,18.133,47.399,52.601,0.34,0.166,0.174,48.724,51.276,14.593,white
경기도,성남시,2017,37.4449168,127.1388684,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,4.09,3.622,45.132,15.996,5.098,0.077,0.251,0.535,49.496,50.504,11.518,4.968,6.55,43.13,56.87,33.591,15.932,17.66,47.428,52.572,0.298,0.152,0.147,50.813,49.151,6.081,white
경기도,수원시,2017,37.263884,127.029478,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,6.482,9.117,21.441,26.426,4.834,0.051,0.008,0.121,50.422,49.578,8.762,3.704,5.058,42.274,57.726,28.623,13.741,14.882,48.007,51.993,0.811,0.4,0.411,49.342,50.658,4.778,white
경기도,시흥시,2017,37.38011,126.8028807,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,14.706,11.283,27.93,9.407,2.243,0.214,0.002,0.236,52.404,47.596,8.075,3.324,4.751,41.16,58.84,28.781,14.623,14.157,50.809,49.191,1.265,0.632,0.634,49.939,50.081,4.778,white
경기도,안성시,2017,37.0079695,127.2796786,717,657,440,191,23,743,743,740,381,64,744,741,668,309,59,704,609,323,88,0,540,345,93,9,0,9.088,20.246,47.757,3.645,0.179,0.442,0.048,0.408,50.876,49.124,14.485,5.996,8.489,41.392,58.608,35.563,16.899,18.663,47.52,52.48,11.583,5.85,5.733,50.503,49.497,26.741,red
경기도,안양시,2017,37.3942527,126.9568209,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,1.766,0.885,50.369,20.367,1.826,0.042,0,0.045,49.607,50.393,10.519,4.509,6.01,42.868,57.132,33.941,16.131,17.81,47.527,52.473,0.311,0.167,0.144,53.596,46.404,6.081,white
경기도,양주시,2017,37.7852875,127.0458453,716,678,458,217,37,742,742,742,434,83,744,737,660,330,81,714,625,356,127,0,555,335,115,11,0,9.537,9.89,57.223,4.938,0.317,0.124,0.034,0.307,50.323,49.677,13.428,5.833,7.596,43.435,56.565,35.397,17.119,18.278,48.363,51.637,5.625,2.825,2.799,50.225,49.766,4.778,white
경기도,양평군,2017,37.491784,127.487632,718,685,502,260,57,744,744,744,458,87,744,738,662,336,83,710,639,344,105,0,582,369,128,17,0,6.433,7.683,72.825,2.575,0.001,0.083,0.019,0.222,50.32,49.68,21.53,9.579,11.951,44.492,55.508,48.45,23.079,25.371,47.635,52.365,16.964,8.772,8.192,51.708,48.286,6.081,white
경기도,연천군,2017,38.0965014,127.0752795,716,647,425,171,19,744,744,739,382,66,744,718,627,268,57,702,555,296,85,0,495,290,89,7,0,11.451,8.013,60.692,1.286,0.064,0.011,0.024,0.251,52.284,47.716,22.559,9.56,12.999,42.379,57.621,47.674,22.7,24.974,47.615,52.385,17.755,8.91,8.845,50.183,49.817,6.081,white
